eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
69,21,60,residential,1.0,1900.0,20.0,12.01123595,107.387,"LINESTRING (531974.7522407697 4206381.9713726, 531954.0218555377 4206411.736996685, 531933.4322632854 4206479.638257424)"
70,22,23,residential,1.0,1900.0,20.0,14.6682327,131.142,"LINESTRING (531428.0494878284 4206804.882780617, 531418.6015911706 4206784.808068708, 531423.1921758417 4206778.168463157, 531425.3289692574 4206770.409875474, 531424.5283475486 4206750.324048947, 531429.5200585807 4206730.704325837, 531431.5282556803 4206710.74026208, 531441.0594096172 4206697.79527882, 531452.9532079034 4206686.856582715)"
71,22,3,residential,1.0,1900.0,20.0,38.917312700000004,347.942,"LINESTRING (531428.0494878284 4206804.882780617, 531433.5129951704 4206810.939723761, 531435.5026487309 4206818.603235102, 531433.8727693578 4206854.324283989, 531440.9472325167 4206863.782637932, 531448.4879544545 4206866.141710482, 531459.6535826951 4206861.85748542, 531478.4973302844 4206847.062192069, 531496.1189669319 4206830.486958559, 531508.2070559937 4206814.667096528, 531511.8337447016 4206807.580004133, 531516.6650406655 4206784.076307321, 531516.8714402689 4206776.08838575, 531512.9967419571 4206756.434505222, 531513.290926659 4206748.4469226, 531517.0054368385 4206741.360171694, 531525.2035913151 4206732.626409373, 531545.4459459452 4206719.50098322, 531563.9963688756 4206712.582515792, 531604.293556468 4206712.183557029, 531628.271489466 4206709.280595228)"
72,22,57,residential,1.0,1900.0,20.0,16.460740799999996,147.16799999999998,"LINESTRING (531428.0494878284 4206804.882780617, 531405.4725512565 4206797.40638123, 531391.9864843567 4206788.700097343, 531380.2646742712 4206777.781525797, 531367.1318311461 4206768.521868836, 531344.9567691716 4206759.22752997, 531339.0958155412 4206753.768276367, 531332.9902155396 4206743.426095719, 531320.4743359912 4206733.503155694, 531308.5363732682 4206733.124526923, 531305.2845835347 4206734.055176037)"
73,23,24,residential,1.0,1900.0,20.0,41.503061,371.06,"LINESTRING (531452.9532079034 4206686.856582715, 531456.2532834542 4206689.354668743, 531459.7325055157 4206688.646864137, 531462.9331358058 4206685.053173734, 531465.5675847441 4206680.303377923, 531467.2233288354 4206674.373696147, 531469.463794702 4206662.510207503, 531469.3660106615 4206642.316132241, 531462.0472462379 4206627.863870352, 531444.5538057998 4206611.042401018, 531440.2785800574 4206604.146773815, 531438.2015129115 4206596.371973535, 531441.7013391983 4206576.63556538, 531441.1641033209 4206556.550756776, 531436.0267386429 4206545.546502948, 531424.4286766328 4206529.768550266, 531416.8130957469 4206519.398311794, 531397.0900664959 4206488.699081965, 531397.0483305332 4206476.715851902, 531402.2514741358 4206470.633362228, 531409.3766513352 4206466.999261294, 531453.5604979999 4206460.733910959, 531480.0246353387 4206450.739002481, 531493.8412758645 4206442.137817283, 531510.4212830432 4206431.816425798)"
74,23,22,residential,1.0,1900.0,20.0,14.6682327,131.142,"LINESTRING (531452.9532079034 4206686.856582715, 531441.0594096172 4206697.79527882, 531431.5282556803 4206710.74026208, 531429.5200585807 4206730.704325837, 531424.5283475486 4206750.324048947, 531425.3289692574 4206770.409875474, 531423.1921758417 4206778.168463157, 531418.6015911706 4206784.808068708, 531428.0494878284 4206804.882780617)"
75,23,49,residential,1.0,1900.0,20.0,21.2262219,189.774,"LINESTRING (531452.9532079034 4206686.856582715, 531453.0828650482 4206675.983551707, 531449.2812282301 4206660.102436916, 531446.0972067442 4206654.819845657, 531440.8884724997 4206650.971869361, 531409.0541919739 4206642.194960028, 531389.7690667941 4206634.686886811, 531348.4358510077 4206607.566248859, 531341.5396153261 4206597.331985384, 531337.6499332819 4206581.450589225, 531329.459360864 4206565.330790653)"
76,24,23,residential,1.0,1900.0,20.0,41.503061,371.06,"LINESTRING (531510.4212830432 4206431.816425798, 531493.8412758645 4206442.137817283, 531480.0246353387 4206450.739002481, 531453.5604979999 4206460.733910959, 531409.3766513352 4206466.999261294, 531402.2514741358 4206470.633362228, 531397.0483305332 4206476.715851902, 531397.0900664959 4206488.699081965, 531416.8130957469 4206519.398311794, 531424.4286766328 4206529.768550266, 531436.0267386429 4206545.546502948, 531441.1641033209 4206556.550756776, 531441.7013391983 4206576.63556538, 531438.2015129115 4206596.371973535, 531440.2785800574 4206604.146773815, 531444.5538057998 4206611.042401018, 531462.0472462379 4206627.863870352, 531469.3660106615 4206642.316132241, 531469.463794702 4206662.510207503, 531467.2233288354 4206674.373696147, 531465.5675847441 4206680.303377923, 531462.9331358058 4206685.053173734, 531459.7325055157 4206688.646864137, 531456.2532834542 4206689.354668743, 531452.9532079034 4206686.856582715)"
77,24,25,residential,1.0,1900.0,20.0,31.005491100000004,277.206,"LINESTRING (531510.4212830432 4206431.816425798, 531500.5328735203 4206393.8651882, 531497.450212171 4206373.659611237, 531501.2091552594 4206355.089252553, 531507.8910311757 4206327.576153516, 531503.6394450295 4206312.248058854, 531492.8240948579 4206291.513376604, 531470.6307246701 4206252.482886243, 531486.5943460289 4206242.724938473, 531509.4403887765 4206255.927821945, 531538.3986317979 4206264.128132678, 531549.0008867882 4206262.726662656)"
78,24,55,residential,1.0,1900.0,20.0,26.946678300000002,240.918,"LINESTRING (531510.4212830432 4206431.816425798, 531478.4587913603 4206426.489442619, 531451.7949779755 4206415.357880238, 531408.9177838913 4206412.807395898, 531353.3724644461 4206378.109420109, 531293.3031771778 4206339.377952052)"
