eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
93,181,178,residential,1,1900.0,25.0,9.956060282600282,111.26576086947117,"LINESTRING (531263.5897659503 4195115.188528376, 531266.488599019 4195118.106524509, 531271.0794944247 4195122.251446644, 531364.9334838326 4195159.86758962)"
94,27,151,residential,1,1900.0,25.0,10.998613107902615,122.9169994177762,"LINESTRING (526055.1594225334 4194817.06653084, 526071.0135869458 4194799.608770794, 526093.0627419512 4194769.355853382, 526129.8386661476 4194719.666823572)"
95,151,27,residential,1,1900.0,25.0,10.998613107902615,122.9169994177762,"LINESTRING (526129.8386661476 4194719.666823572, 526093.0627419512 4194769.355853382, 526071.0135869458 4194799.608770794, 526055.1594225334 4194817.06653084)"
96,151,28,residential,1,1900.0,25.0,13.957828873489241,155.9882529446719,"LINESTRING (526129.8386661476 4194719.666823572, 526218.5355873689 4194591.512472967)"
97,28,151,residential,1,1900.0,25.0,13.957828873489241,155.9882529446719,"LINESTRING (526218.5355873689 4194591.512472967, 526129.8386661476 4194719.666823572)"
98,30,33,residential,1,1900.0,25.0,17.349886861298298,193.8968133806247,"LINESTRING (525786.6911869509 4195198.956263615, 525900.9708784714 4195042.497541946)"
99,33,30,residential,1,1900.0,25.0,17.349886861298298,193.8968133806247,"LINESTRING (525900.9708784714 4195042.497541946, 525786.6911869509 4195198.956263615)"
100,33,250,residential,1,1900.0,25.0,16.71375417213227,186.78759691699003,"LINESTRING (525900.9708784714 4195042.497541946, 525943.7531555926 4194983.162769293, 525986.0530815143 4194926.422957618, 525990.8703598933 4194912.713523808, 525989.7902107812 4194884.594994035)"
101,250,33,residential,1,1900.0,25.0,16.71375417213227,186.78759691699003,"LINESTRING (525989.7902107812 4194884.594994035, 525990.8703598933 4194912.713523808, 525986.0530815143 4194926.422957618, 525943.7531555926 4194983.162769293, 525900.9708784714 4195042.497541946)"
102,194,192,residential,1,1900.0,25.0,12.990393123739246,145.17649892422045,"LINESTRING (531338.831865147 4194768.972507044, 531336.3755278179 4194765.268419195, 531258.698405818 4194648.072969263)"
103,192,194,residential,1,1900.0,25.0,12.990393123739246,145.17649892422045,"LINESTRING (531258.698405818 4194648.072969263, 531336.3755278179 4194765.268419195, 531338.831865147 4194768.972507044)"
104,131,1,residential,1,1900.0,25.0,3.694971768089581,41.29382843193542,"LINESTRING (525334.4162678509 4194868.719734718, 525367.9431288949 4194892.86654541)"
105,1,131,residential,1,1900.0,25.0,3.694971768089581,41.29382843193542,"LINESTRING (525367.9431288949 4194892.86654541, 525334.4162678509 4194868.719734718)"
106,1,100,residential,1,1900.0,25.0,13.091715846623478,146.30884942583234,"LINESTRING (525367.9431288949 4194892.86654541, 525486.529881806 4194978.700116256)"
107,100,1,residential,1,1900.0,25.0,13.091715846623478,146.30884942583234,"LINESTRING (525486.529881806 4194978.700116256, 525367.9431288949 4194892.86654541)"
108,100,15,residential,1,1900.0,25.0,20.138956456819596,225.0665674655744,"LINESTRING (525486.529881806 4194978.700116256, 525551.0525760814 4195028.884524609, 525667.4703556043 4195112.683585661)"
109,15,100,residential,1,1900.0,25.0,20.138956456819596,225.0665674655744,"LINESTRING (525667.4703556043 4195112.683585661, 525551.0525760814 4195028.884524609, 525486.529881806 4194978.700116256)"
110,15,30,residential,1,1900.0,25.0,13.160813239809842,147.08105989952884,"LINESTRING (525667.4703556043 4195112.683585661, 525730.842667592 4195158.971434847, 525786.6911869509 4195198.956263615)"
111,30,15,residential,1,1900.0,25.0,13.160813239809842,147.08105989952884,"LINESTRING (525786.6911869509 4195198.956263615, 525730.842667592 4195158.971434847, 525667.4703556043 4195112.683585661)"
112,30,121,residential,1,1900.0,25.0,6.536509968527568,73.04995494554724,"LINESTRING (525786.6911869509 4195198.956263615, 525846.250328228 4195241.327536006)"
113,121,30,residential,1,1900.0,25.0,6.536509968527568,73.04995494554724,"LINESTRING (525846.250328228 4195241.327536006, 525786.6911869509 4195198.956263615)"
114,121,118,residential,1,1900.0,25.0,20.136549262665373,225.03966542987675,"LINESTRING (525846.250328228 4195241.327536006, 525939.8382843294 4195309.092677776, 526028.9802007716 4195372.894915367)"
115,118,121,residential,1,1900.0,25.0,20.136549262665373,225.03966542987675,"LINESTRING (526028.9802007716 4195372.894915367, 525939.8382843294 4195309.092677776, 525846.250328228 4195241.327536006)"
116,118,113,residential,1,1900.0,25.0,6.749573121453155,75.43108092817562,"LINESTRING (526028.9802007716 4195372.894915367, 526090.8019606489 4195416.196072945)"
