OBJECTID,Acres,PropID,UseCd,UseCdDesc,Jurisdicti,SHAPESTAre,SHAPESTLen,kmlgeometry
93570,0.182,172-201-13,11,Single-Resid. - Improved,Unincorporated,7947.1630859375,419.24511433989045,"POLYGON ((38.0072954404547 -122.642800624973,38.0071927930479 -122.642922125907,38.0074911083495 -122.643302263431,38.0075035795741 -122.643292441042,38.0076073678026 -122.643210721273,38.0072954404547 -122.642800624973))"
93571,0.271,172-291-42,11,Single-Resid. - Improved,Unincorporated,11845.5185546875,502.42521911467946,"POLYGON ((38.0046975834903 -122.641310186948,38.0043711370621 -122.641293222422,38.0042113868684 -122.641224834163,38.004239810715 -122.641651211938,38.0044410983049 -122.641589820708,38.0046975834903 -122.641310186948))"
93572,0.268,172-301-32,11,Single-Resid. - Improved,Unincorporated,11716.494140625,452.010752063529,"POLYGON ((38.0024491145075 -122.638595487186,38.0022955721057 -122.63851489342,38.0021430043918 -122.63844222732,38.0020089662466 -122.638457775748,38.0020109699491 -122.638642264011,38.0020486916785 -122.638623114013,38.0021100014723 -122.63880218557,38.0022560286534 -122.638858256303,38.0024491145075 -122.638595487186))"
93573,0.748,172-121-15,11,Single-Resid. - Improved,Unincorporated,32625.787109375,887.358645886922,"POLYGON ((38.005347789598 -122.633040330367,38.0054844369977 -122.632977006896,38.0055249241219 -122.632964134854,38.0053741217426 -122.63259299736,38.0051515663647 -122.632408942725,38.0051170384693 -122.63243845749,38.0049556519914 -122.632506775596,38.0046048943871 -122.632744353576,38.0048217385086 -122.633067158978,38.0051374613108 -122.632755777022,38.005347789598 -122.633040330367))"
93574,0.282,172-121-14,11,Single-Resid. - Improved,Unincorporated,12316.453125,459.13652716783747,"POLYGON ((38.0053720314943 -122.63338993865,38.0053035067274 -122.633373042699,38.0052342626851 -122.633599828476,38.0051446911902 -122.633809836627,38.0053886430489 -122.633952065399,38.0055240412639 -122.633633067552,38.0053762318928 -122.633450855763,38.0053720314943 -122.63338993865))"
93575,0.381,172-121-10,11,Single-Resid. - Improved,Unincorporated,16624.7314453125,588.4575279151884,"POLYGON ((38.0053720314943 -122.63338993865,38.005347789598 -122.633040330367,38.0049413340964 -122.633439229353,38.0049748543394 -122.633545504357,38.005065135779 -122.633763445851,38.0051446911902 -122.633809836627,38.0052342626851 -122.633599828476,38.0053035067274 -122.633373042699,38.0053720314943 -122.63338993865))"
93576,0.369,172-231-42,11,Single-Resid. - Improved,Unincorporated,16103.1201171875,551.1217417249864,"POLYGON ((38.0033168513878 -122.636170490403,38.0034587565341 -122.636848587667,38.003485961005 -122.636841114911,38.003666040954 -122.636683108764,38.0035393438534 -122.636096284903,38.0033168513878 -122.636170490403))"
93577,0.375,172-231-41,11,Single-Resid. - Improved,Unincorporated,16340.2998046875,577.0765883797814,"POLYGON ((38.0031031292247 -122.636248359811,38.0032530600174 -122.636955116287,38.0033197504865 -122.636886707744,38.0034587565341 -122.636848587667,38.0033168513878 -122.636170490403,38.0031471074666 -122.6362270822,38.0031031292247 -122.636248359811))"
93578,0.141,172-071-19,11,Single-Resid. - Improved,Unincorporated,6149.6708984375,338.8660974893443,"POLYGON ((38.0091707893495 -122.636361187764,38.0092717601156 -122.636494767474,38.0095218739928 -122.636258046599,38.0094324907838 -122.636113626442,38.0091707893495 -122.636361187764))"
93581,0.244,172-342-17,11,Single-Resid. - Improved,Unincorporated,10642.953125,434.17294247880824,"POLYGON ((37.9988816001034 -122.633643358334,37.9989467270237 -122.633811337926,37.9992638842483 -122.633592199225,37.9990979266115 -122.633260945601,37.9990976872787 -122.633260471715,37.9988817770002 -122.633643044404,37.9988816001034 -122.633643358334))"
93583,0.155,172-343-10,11,Single-Resid. - Improved,Unincorporated,6779.0390625,333.4006031835869,"POLYGON ((37.9986539171154 -122.63417901556,37.998509329337 -122.634436045065,37.9987000026233 -122.634612934537,37.9988058675265 -122.634424343105,37.9987533449479 -122.634339532769,37.9986539171154 -122.63417901556))"
93584,0.268,172-321-50,21,Multiple-Resid. - Improved,Unincorporated,11681.9765625,483.1532397042006,"POLYGON ((38.0011714344017 -122.636672857124,38.0010553306859 -122.636616652628,38.0009977570694 -122.63662590823,38.0009950988558 -122.636562533353,38.0008723674924 -122.636643935865,38.000839646255 -122.636681630988,38.0008064834673 -122.636894378849,38.0007123312362 -122.63700717557,38.0009067370721 -122.636986573173,38.0011582122823 -122.636850952672,38.0011714344017 -122.636672857124))"
93586,0.219,172-221-29,10,Single-Resid. - Unimproved,Unincorporated,9544.16015625,390.44751477996255,"POLYGON ((38.0035426674323 -122.640993022996,38.0037117533058 -122.641058262992,38.0038035686669 -122.641074746132,38.003853460947 -122.640689293365,38.0036181027725 -122.640680922469,38.0035426674323 -122.640993022996))"
93587,0.307,172-231-16,11,Single-Resid. - Improved,Unincorporated,13375.1982421875,477.894255281646,"POLYGON ((38.0050630462344 -122.637788661813,38.0048268605583 -122.637664282829,38.0047238884769 -122.63798399103,38.0048526368537 -122.638321781208,38.0050413194365 -122.637954521333,38.005041394152 -122.637954375517,38.0050705684847 -122.637897770828,38.0050630462344 -122.637788661813))"
93588,0.387,172-301-22,10,Single-Resid. - Unimproved,Unincorporated,16883.0234375,561.4929134095249,"POLYGON ((38.0024491145075 -122.638595487186,38.0026125848683 -122.638335642816,38.0024050778249 -122.638170150907,38.0023343072036 -122.638178300957,38.0020056351423 -122.638248504353,38.0020089662466 -122.638457775748,38.0021430043918 -122.63844222732,38.0022955721057 -122.63851489342,38.0024491145075 -122.638595487186))"
93589,0.158,172-343-02,11,Single-Resid. - Improved,Unincorporated,6900.01171875,347.3072467849718,"POLYGON ((37.9981963965291 -122.633916215559,37.9982917779294 -122.634145411788,37.9983267143919 -122.634219856762,37.9985536896447 -122.634016095043,37.998471126138 -122.633894663296,37.9981963965291 -122.633916215559))"
93590,0.277,172-231-14,11,Single-Resid. - Improved,Unincorporated,12091.5791015625,465.61565413626056,"POLYGON ((38.0043989852696 -122.637262639235,38.0042489272396 -122.637809462747,38.0044824587098 -122.637890208647,38.0045806050274 -122.637541795291,38.0043989852696 -122.637262639235))"
93591,0.2,172-282-26,21,Multiple-Resid. - Improved,Unincorporated,8750.482421875,386.35907405035186,"POLYGON ((38.0044335935283 -122.643773497269,38.0046284222182 -122.643396265543,38.0044244507331 -122.643264840145,38.0043023671602 -122.643500660113,38.0044335935283 -122.643773497269))"
93592,0.139,172-201-04,11,Single-Resid. - Improved,Unincorporated,6094.296875,346.03814007005184,"POLYGON ((38.0074798122542 -122.642047703504,38.0073673530357 -122.642423036983,38.0074835939646 -122.642499136134,38.0075134113824 -122.642424814677,38.0076185218676 -122.642076782158,38.0075572636079 -122.642071757754,38.0074798122542 -122.642047703504))"
93593,0.16,172-173-15,11,Single-Resid. - Improved,Unincorporated,6992.0380859375,372.3298542561324,"POLYGON ((38.0063079848298 -122.634724882576,38.0062936329432 -122.634926548133,38.0066024204959 -122.635097449275,38.0066549933207 -122.634931108136,38.0063079848298 -122.634724882576))"
93594,0.3,172-282-09,11,Single-Resid. - Improved,Unincorporated,13084.6494140625,523.7976074463342,"POLYGON ((38.0049417136401 -122.641983024312,38.0052370992346 -122.642022808358,38.0051822421856 -122.64164147204,38.0050516882167 -122.641312825354,38.0049957877669 -122.641514116153,38.0049417136401 -122.641983024312))"
93595,0.197,172-171-16,11,Single-Resid. - Improved,Unincorporated,8606.7861328125,394.8966691565451,"POLYGON ((38.0056075630575 -122.637518684364,38.0059918948522 -122.637482971389,38.0058738777966 -122.637251156828,38.0055910941975 -122.637269527683,38.0056075630575 -122.637518684364))"
