Parcel,origin_osmid,dept_time,type,destin_osmid
19309204,110386918,0,local,110397253
19217226,110438785,0,local,110397253
19012218,110441915,0,local,110397253
19120213,110407256,0,local,110397253
19015212,110398036,0,local,110397253
19313316,110421540,0,local,110397253
19101126,110392622,0,local,110397253
18815070,3387083180,0,local,110397253
19204246,110358680,0,local,110397253
18810035,110396428,0,local,110397253
19204135,3367883696,0,local,110397253
19213229,110383328,0,local,110397253
19218130,110410673,0,local,110397253
19214226,110410673,0,local,110397253
19219229,110392606,0,local,110397253
19218130,110410673,0,local,110397253
19204123,3367883696,0,local,110397253
19213233,110383328,0,local,110397253
19312131,110451170,0,local,110397253
19220223,110372172,0,local,110397253
19110110,110450448,0,local,110397253
19123120,110388967,0,local,110397253
19113217,110417195,0,local,110397253
19317217,110421555,0,local,110397253
19001209,110401311,0,local,110397253
19213233,110383328,0,local,110397253
19314115,110443304,0,local,110397253
19317105,110381021,0,local,110397253
19016124,110438781,0,local,110397253
19215124,110392606,0,local,110397253
19312141,110386918,0,local,110397253
19120109,110417188,0,local,110397253
19124127,110450446,0,local,110397253
19012218,110441915,0,local,110397253
19118215,110392611,0,local,110397253
19312102,110386918,0,local,110397253
19314117,110443304,0,local,110397253
19313339,110421520,0,local,110397253
19102235,110398027,0,local,110397253
19220223,110372172,0,local,110397253
19022221,110392632,0,local,110397253
19309210,110394015,0,local,110397253
18815067,110393217,0,local,110397253
19315116,110386925,0,local,110397253
19008130,110348362,0,local,110397253
19216128,110383607,0,local,110397253
19310115,110429434,0,local,110397253
19116218,110398029,0,local,110397253
19208115,110419724,0,local,110397253
19001209,110401311,0,local,110397253
19221210,110383333,0,local,110397253
19221217,110392602,0,local,110397253
19223218,110460424,0,local,110397253
19215125,110392606,0,local,110397253
19023232,110366323,0,local,110397253
19222116,110410670,0,local,110397253
19220223,110372172,0,local,110397253
19017118,312072227,0,local,110397253
19309204,110386918,0,local,110397253
19215232,110392609,0,local,110397253
19308116,2481944221,0,local,110397253
19101137,110398027,0,local,110397253
19005236,110381098,0,local,110397253
19020210,312072177,0,local,110397253
19109125,110412273,0,local,110397253
19317218,110421555,0,local,110397253
19223218,110460424,0,local,110397253
18810004,110396428,0,local,110397253
19315120,110386925,0,local,110397253
19212142,110383610,0,local,110397253
19022222,110365449,0,local,110397253
19308112,2481944221,0,local,110397253
19015121,110435310,0,local,110397253
19212129,110383610,0,local,110397253
19314117,110443304,0,local,110397253
19022223,110392632,0,local,110397253
19312131,110451170,0,local,110397253
19309228,110394015,0,local,110397253
19113113,110441857,0,local,110397253
19004234,110414475,0,local,110397253
19116111,110435295,0,local,110397253
19225107,110454526,0,local,110397253
19121119,110407258,0,local,110397253
19212129,110383610,0,local,110397253
19217227,110383331,0,local,110397253
18810036,110396428,0,local,110397253
19310227,110443301,0,local,110397253
19102235,110398027,0,local,110397253
19317218,110421555,0,local,110397253
19101138,110398027,0,local,110397253
19314115,110443304,0,local,110397253
19310104,110443299,0,local,110397253
19312139,110451170,0,local,110397253
19007124,110455262,0,local,110397253
19208118,110383326,0,local,110397253
19314225,1900719912,0,local,110397253
19003310,110387967,0,local,110397253
19226203,110410670,0,local,110397253
19003131,110387961,0,local,110397253
19303012,110381021,0,local,110397253
18814032,110367725,0,local,110397253
19011125,5071533356,0,local,110397253
19204236,110358680,0,local,110397253
19114217,110348621,0,local,110397253
19219226,110460424,0,local,110397253
19009209,110348362,0,local,110397253
19220129,110372172,0,local,110397253
19102233,110392617,0,local,110397253
19122214,110388967,0,local,110397253
19310216,110443304,0,local,110397253
18815024,110393217,0,local,110397253
19203155,3401274918,0,local,110397253
19313225,110421553,0,local,110397253
19316227,312078495,0,local,110397253
19016223,110447261,0,local,110397253
19307510,110393241,0,local,110397253
19118217,110392609,0,local,110397253
19211215,110459167,0,local,110397253
19128120,110417190,0,local,110397253
19313339,110421520,0,local,110397253
19112208,110366323,0,local,110397253
19117208,110392614,0,local,110397253
19209127,110401286,0,local,110397253
18818005,110393217,0,local,110397253
19309221,110386918,0,local,110397253
19308219,2481944221,0,local,110397253
19313312,110414599,0,local,110397253
19120213,110407256,0,local,110397253
19125101,110388967,0,local,110397253
19219229,110392606,0,local,110397253
19119115,110455254,0,local,110397253
